epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,108178,0.66127,0.35156,0.8295,0.81677,0.64205,0.72766,0.52662,0.73269,0.43162,0.82476,4.98597e-05,4.98597e-05,4.98597e-05
86,109444,0.66064,0.35149,0.8291,0.81792,0.64091,0.72736,0.52635,0.73264,0.43209,0.82472,4.47662e-05,4.47662e-05,4.47662e-05
87,110717,0.66099,0.35111,0.8294,0.81831,0.64072,0.72699,0.52607,0.73267,0.43257,0.82466,3.99774e-05,3.99774e-05,3.99774e-05
88,111903,0.66017,0.35069,0.82904,0.82022,0.63966,0.72679,0.52596,0.73261,0.43278,0.82462,3.5498e-05,3.5498e-05,3.5498e-05
89,113121,0.65994,0.35051,0.82932,0.8226,0.63836,0.72653,0.52586,0.73269,0.43311,0.82461,3.13324e-05,3.13324e-05,3.13324e-05
90,114302,0.65948,0.3499,0.82888,0.82614,0.63652,0.72658,0.5259,0.73267,0.43307,0.82458,2.74848e-05,2.74848e-05,2.74848e-05
91,115593,0.6594,0.34976,0.82905,0.82323,0.63774,0.72658,0.52593,0.73261,0.43289,0.82457,2.39589e-05,2.39589e-05,2.39589e-05
92,116910,0.65922,0.34918,0.82882,0.82206,0.6385,0.72694,0.52636,0.73266,0.43289,0.82452,2.07582e-05,2.07582e-05,2.07582e-05
93,118221,0.66007,0.34888,0.82952,0.82196,0.63861,0.72655,0.52621,0.73269,0.43292,0.8245,1.78859e-05,1.78859e-05,1.78859e-05
94,119523,0.65917,0.34904,0.82888,0.82161,0.63831,0.72662,0.52599,0.73275,0.43284,0.82451,1.53448e-05,1.53448e-05,1.53448e-05
95,120830,0.65932,0.34883,0.82895,0.81924,0.63969,0.72663,0.52614,0.73276,0.43285,0.82453,1.31375e-05,1.31375e-05,1.31375e-05
96,122152,0.65846,0.3486,0.82891,0.81795,0.64089,0.72662,0.52624,0.73286,0.4327,0.82453,1.1266e-05,1.1266e-05,1.1266e-05
97,123460,0.65909,0.34863,0.82864,0.81739,0.64073,0.72672,0.52611,0.73296,0.43278,0.82453,9.73226e-06,9.73226e-06,9.73226e-06
98,124772,0.65846,0.34841,0.82839,0.81908,0.64015,0.72659,0.52616,0.73296,0.43277,0.82452,8.53778e-06,8.53778e-06,8.53778e-06
99,125985,0.65912,0.34874,0.82889,0.81754,0.64039,0.72649,0.52628,0.733,0.43285,0.82453,7.68374e-06,7.68374e-06,7.68374e-06
100,127242,0.65897,0.34872,0.82868,0.81685,0.64034,0.72625,0.52615,0.73298,0.43281,0.82452,7.17098e-06,7.17098e-06,7.17098e-06
